                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5954,                 3.6662,                 1.2743,                0.00245,                0.83889,                0.00751,                0.00421,                 1.3557,                 3.5916,                 1.0157,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.5339,                 2.1611,                 1.1398,                0.00256,                0.88889,                 0.1158,                0.03728,                 1.4081,                 3.3289,                 1.1132,             0.00052288,             0.00052288,             0.00052288
                      3,                   1.52,                  1.765,                 1.1247,                 0.6562,                0.21667,                 0.4158,                0.23633,                 1.3975,                 3.0247,                  1.094,             0.00075098,             0.00075098,             0.00075098
                      4,                 1.4989,                 1.6299,                 1.1376,                0.70398,                0.10398,                0.42711,                 0.2353,                 1.4345,                 2.8981,                 1.1286,             0.00095103,             0.00095103,             0.00095103
                      5,                 1.4357,                  1.502,                  1.122,                0.63533,                0.42222,                0.47287,                0.26449,                 1.3302,                 2.4287,                 1.1327,               0.001123,               0.001123,               0.001123
                      6,                 1.3491,                 1.4757,                 1.1051,                0.40806,                0.41771,                0.33396,                0.19791,                 1.3778,                 2.5941,                 1.1209,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.3861,                 1.4109,                  1.124,                0.54408,                0.29574,                0.39807,                0.23149,                 1.4001,                 2.8828,                  1.152,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.3021,                 1.3103,                 1.0917,                0.62905,                0.70556,                0.57453,                0.38213,                  1.265,                 1.6786,                 1.0523,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.3324,                 1.2941,                 1.1081,                0.61033,                0.81685,                0.66735,                 0.4766,                 1.1988,                 1.4669,                 1.0178,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.2697,                 1.1566,                 1.0654,                0.47419,                0.74442,                0.63096,                0.42152,                 1.3012,                 1.7905,                 1.0827,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.1734,                 1.2541,                 1.0369,                0.46971,                0.54444,                0.44174,                0.26073,                  1.584,                 2.2076,                 1.1244,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1959,                 1.2017,                 1.0354,                  0.488,                0.66111,                0.55673,                0.33391,                    1.3,                 1.6931,                 1.0494,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1803,                 1.1461,                 1.0658,                0.61813,                0.56688,                0.60841,                0.36326,                 1.3802,                 1.7323,                  1.121,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.1515,                 1.0598,                 1.0416,                 0.5917,                0.70324,                0.60537,                0.40203,                  1.327,                 1.4885,                   1.09,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.1267,                 1.0333,                 1.0445,                0.54871,                0.81731,                0.60504,                0.39732,                 1.2599,                  1.471,                 1.0586,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0421,                0.94998,                 1.0069,                0.55094,                0.73333,                0.58001,                0.38307,                 1.1995,                  1.583,                 1.0649,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0949,                0.95478,                 1.0498,                0.55486,                0.77662,                 0.5848,                0.38909,                  1.304,                 1.6108,                 1.0992,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0325,                0.93287,                  1.007,                0.58054,                0.78889,                0.61289,                0.40951,                   1.29,                 1.4886,                 1.0908,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.0411,                0.90736,                0.99145,                0.60648,                0.76111,                0.61826,                0.42734,                  1.275,                 1.4538,                 1.0815,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.0118,                 0.8903,                0.99816,                0.60652,                0.76111,                0.62274,                0.43715,                 1.2042,                 1.3948,                 1.0565,             9.9187e-05,             9.9187e-05,             9.9187e-05
